Mon Dec 14 18:35:33 +0000 2020,RT @ForTheRuleOfLaw: Speaker of MI House: \"I fought for Trump...but I love our Republic too. I can't fathom risking our norms traditions\u2026
Mon Dec 14 18:35:33 +0000 2020,RT @politicususa: Fake Republican Electors In Georgia Cast Votes For Trump And Declare The Election Ongoing: In Georgia Republicans held t\u2026
Mon Dec 14 18:35:33 +0000 2020,@JohnnyNoChill @_N4TURAL_ @M8tureAudience_ @GymServer @shoverbug1 This idiotic mentality right here is why the pand\u2026 https:\/\/t.co\/KTVnz9kHwh""display_text_range":[66140]"source":"\u003ca href=\"http:\/\/twitter.com\/download\/android\" rel=\"nofollow\"\u003eTwitter for Android\u003c\/a\u003e""truncated":true"in_reply_to_status_id":1338550428716441607"in_reply_to_status_id_str":"1338550428716441607""in_reply_to_user_id":2392068784"in_reply_to_user_id_str":"2392068784""in_reply_to_screen_name":"JohnnyNoChill""user":{"id":1063833079217836033"id_str":"1063833079217836033""name":"\ud83e\uddc0 Pack 10-3 \ud83e\uddc0""screen_name":"NotCjenney""location":"New York USA""url":null"description":"Celtics. Packers. Left leaning centrist.""translator_type":"none""protected":false"verified":false"followers_count":11"friends_count":66"listed_count":0"favourites_count":1851"statuses_count":2912"created_at":"Sat Nov 17 16:35:45 +0000 2018""utc_offset":null"time_zone":null"geo_enabled":false"lang":null"contributors_enabled":false"is_translator":false"profile_background_color":"F5F8FA""profile_background_image_url":"""profile_background_image_url_https":"""profile_background_tile":false"profile_link_color":"1DA1F2""profile_sidebar_border_color":"C0DEED""profile_sidebar_fill_color":"DDEEF6""profile_text_color":"333333""profile_use_background_image":true"profile_image_url":"http:\/\/pbs.twimg.com\/profile_images\/1275823673509806080\/gU22xc3E_normal.jpg""profile_image_url_https":"https:\/\/pbs.twimg.com\/profile_images\/1275823673509806080\/gU22xc3E_normal.jpg""profile_banner_url":"https:\/\/pbs.twimg.com\/profile_banners\/1063833079217836033\/1566790426""default_profile":true"default_profile_image":false"following":null"follow_request_sent":null"notifications":null}"geo":null"coordinates":null"place":null"contributors":null"is_quote_status":false"extended_tweet":{"full_text":"@JohnnyNoChill @_N4TURAL_ @M8tureAudience_ @GymServer @shoverbug1 This idiotic mentality right here is why the pandemic is out of control. A presidential rally is not a once in a lifetime experience. Your hypocrisy is funny though. You went from \"good luck controlling an airborne virus\" to \"hurr durr super spreader events good because Trump!\"""display_text_range":[66344]"entities":{"hashtags":[]"urls":[]"user_mentions":[{"screen_name":"JohnnyNoChill""name":"Johnny""id":2392068784"id_str":"2392068784""indices":[014]}{"screen_name":"_N4TURAL_""name":"Natural Gaming\ud83c\udf84\ud83c\uddee\ud83c\uddea""id":1311370796011589634"id_str":"1311370796011589634""indices":[1525]}{"screen_name":"M8tureAudience_""name":"King $picy\ud83d\udcb0""id":2747290795"id_str":"2747290795""indices":[2642]}{"screen_name":"GymServer""name":"just here to watch \ud83c\uddec\ud83c\udded\ud83c\uddfa\ud83c\uddf2""id":1074428525187354626"id_str":"1074428525187354626""indices":[4353]}{"screen_name":"shoverbug1""name":"Trump-o the Clown""id":897572694400667653"id_str":"897572694400667653""indices":[5465]}]"symbols":[]}}"quote_count":0"reply_count":0"retweet_count":0"favorite_count":0"entities":{"hashtags":[]"urls":[{"url":"https:\/\/t.co\/KTVnz9kHwh""expanded_url":"https:\/\/twitter.com\/i\/web\/status\/1338553230150803463""display_url":"twitter.com\/i\/web\/status\/1\u2026""indices":[117140]}]"user_mentions":[{"screen_name":"JohnnyNoChill""name":"Johnny""id":2392068784"id_str":"2392068784""indices":[014]}{"screen_name":"_N4TURAL_""name":"Natural Gaming\ud83c\udf84\ud83c\uddee\ud83c\uddea""id":1311370796011589634"id_str":"1311370796011589634""indices":[1525]}{"screen_name":"M8tureAudience_""name":"King $picy\ud83d\udcb0""id":2747290795"id_str":"2747290795""indices":[2642]}{"screen_name":"GymServer""name":"just here to watch \ud83c\uddec\ud83c\udded\ud83c\uddfa\ud83c\uddf2""id":1074428525187354626"id_str":"1074428525187354626""indices":[4353]}{"screen_name":"shoverbug1""name":"Trump-o the Clown""id":897572694400667653"id_str":"897572694400667653""indices":[5465]}]"symbols":[]}"favorited":false"retweeted":false"filter_level":"low""lang":"en""timestamp_ms":"1607970933841"}

Mon Dec 14 18:35:33 +0000 2020,RT @PepeNewsNow: About Julian Assange news...if I am wrong I will delete but remember just 3 months ago...POTUS offered JA a pardon in ex\u2026
Mon Dec 14 18:35:33 +0000 2020,RT @RebelRising2020: Q: If you already have evidence of fraud... when do you play the Trump card?\n\nA: After your enemies commit crimes that\u2026
Mon Dec 14 18:35:33 +0000 2020,RT @cowards_are_us: #Trump @SenatorLoeffler @sendavidperdue R ALL MOTIVATED BY GREED &amp; THE EXPLOITATION OF TRUSTING PEOPLE! ENOUGH! #Resist\u2026
Mon Dec 14 18:35:33 +0000 2020,RT @Jim_Jordan: Today\u2019s Left can\u2019t cancel everything. Merry Christmas!
Mon Dec 14 18:35:33 +0000 2020,RT @CodeMonkeyZ: I think today's the day. \nDominoes falling left and right. \n\nTrump is about to hit it out of the park.
Mon Dec 14 18:35:33 +0000 2020,@realDonaldTrump #TrumpTransitionToPrison\n\nhttps:\/\/t.co\/8XYrOuqD5r https:\/\/t.co\/SOzC5QwiIM""display_text_range":[1766]"source":"\u003ca href=\"http:\/\/twitter.com\/download\/android\" rel=\"nofollow\"\u003eTwitter for Android\u003c\/a\u003e""truncated":false"in_reply_to_status_id":1338254785666043908"in_reply_to_status_id_str":"1338254785666043908""in_reply_to_user_id":25073877"in_reply_to_user_id_str":"25073877""in_reply_to_screen_name":"realDonaldTrump""user":{"id":277202090"id_str":"277202090""name":"Kat Antifa Collection Agency #BlackLivesMatter\ud83c\uddfa\ud83c\uddf2""screen_name":"BodhisattvaKat""location":"Universal Mass Consciousness""url":null"description":"Never has there been an organization in Human History more dedicated\u2014more committed to the destruction of organized human life on Earth\u2014than Rethuglikkklan GOP!""translator_type":"none""protected":false"verified":false"followers_count":9656"friends_count":10599"listed_count":44"favourites_count":301598"statuses_count":178367"created_at":"Mon Apr 04 22:18:33 +0000 2011""utc_offset":null"time_zone":null"geo_enabled":true"lang":null"contributors_enabled":false"is_translator":false"profile_background_color":"C0DEED""profile_background_image_url":"http:\/\/abs.twimg.com\/images\/themes\/theme1\/bg.png""profile_background_image_url_https":"https:\/\/abs.twimg.com\/images\/themes\/theme1\/bg.png""profile_background_tile":false"profile_link_color":"1DA1F2""profile_sidebar_border_color":"C0DEED""profile_sidebar_fill_color":"DDEEF6""profile_text_color":"333333""profile_use_background_image":true"profile_image_url":"http:\/\/pbs.twimg.com\/profile_images\/651345563317702656\/EYB_Paqr_normal.jpg""profile_image_url_https":"https:\/\/pbs.twimg.com\/profile_images\/651345563317702656\/EYB_Paqr_normal.jpg""profile_banner_url":"https:\/\/pbs.twimg.com\/profile_banners\/277202090\/1445135629""default_profile":true"default_profile_image":false"following":null"follow_request_sent":null"notifications":null}"geo":null"coordinates":null"place":null"contributors":null"is_quote_status":false"quote_count":0"reply_count":0"retweet_count":0"favorite_count":0"entities":{"hashtags":[{"text":"TrumpTransitionToPrison""indices":[1741]}]"urls":[{"url":"https:\/\/t.co\/8XYrOuqD5r""expanded_url":"https:\/\/lawandcrime.com\/high-profile\/manhattan-das-office-reportedly-escalating-investigation-of-trump-significantly-recently-interviewed-deutsche-bank-employees\/""display_url":"lawandcrime.com\/high-profile\/m\u2026""indices":[4366]}]"user_mentions":[{"screen_name":"realDonaldTrump""name":"Donald J. Trump""id":25073877"id_str":"25073877""indices":[016]}]"symbols":[]"media":[{"id":1338553228036886528"id_str":"1338553228036886528""indices":[6790]"media_url":"http:\/\/pbs.twimg.com\/media\/EpN_EaYXUAA2T--.jpg""media_url_https":"https:\/\/pbs.twimg.com\/media\/EpN_EaYXUAA2T--.jpg""url":"https:\/\/t.co\/SOzC5QwiIM""display_url":"pic.twitter.com\/SOzC5QwiIM""expanded_url":"https:\/\/twitter.com\/BodhisattvaKat\/status\/1338553230297604107\/photo\/1""type":"photo""sizes":{"thumb":{"w":150"h":150"resize":"crop"}"small":{"w":680"h":680"resize":"fit"}"medium":{"w":720"h":720"resize":"fit"}"large":{"w":720"h":720"resize":"fit"}}}]}"extended_entities":{"media":[{"id":1338553228036886528"id_str":"1338553228036886528""indices":[6790]"media_url":"http:\/\/pbs.twimg.com\/media\/EpN_EaYXUAA2T--.jpg""media_url_https":"https:\/\/pbs.twimg.com\/media\/EpN_EaYXUAA2T--.jpg""url":"https:\/\/t.co\/SOzC5QwiIM""display_url":"pic.twitter.com\/SOzC5QwiIM""expanded_url":"https:\/\/twitter.com\/BodhisattvaKat\/status\/1338553230297604107\/photo\/1""type":"photo""sizes":{"thumb":{"w":150"h":150"resize":"crop"}"small":{"w":680"h":680"resize":"fit"}"medium":{"w":720"h":720"resize":"fit"}"large":{"w":720"h":720"resize":"fit"}}}]}"favorited":false"retweeted":false"possibly_sensitive":false"filter_level":"low""lang":"und""timestamp_ms":"1607970933876"}
